127.0.0.1 - - [03/Jul/2023:16:06:21 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:06:22 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 200 1245
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:06:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:06:58 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:07:22 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 200 1255
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:07:39 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:08:08 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 200 1246
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:12:40 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:12:41 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:12:51 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 200 1434
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:13:38 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 200 1439
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:23:38 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 200 1669
0:0:0:0:0:0:0:1 - - [03/Jul/2023:16:24:53 +0530] "GET /Banking_Application/signup.html HTTP/1.1" 304 -
